IPAddress,ResponseId,BirthYear,Major,Politics,Ethnicity,Gender
96.11.195.202,R_veGB6poNPKURD69,2000,Exploratory Studies,4,White,Male
129.137.96.18,R_11iq5V1E0bh4fFT,2002,Nueroscience,5,White,Female
71.72.140.221,R_ZJmOODynCG33QUV,2002,Criminal Justice,2,White,Female
65.60.138.221,R_2uWDSyJbzY2E4Wk,2001,nursing,2,White,Female
216.68.210.77,R_3TMt680PNRlCThT,1998,biochemistry,4,Black or African American,Male
129.137.96.14,R_2V7szZrhw7UABoW,2001,Nursing,5,White,Male
24.192.73.172,R_4Iw800lqvpgj0Xv,2002,Criminal Justice,3,White,Female
74.215.46.35,R_3rqDHGJk9hLCQA9,2000,Pre-Physical Therapy,5,White,Male
174.105.11.27,R_3s7vQ3MQbEQKuIE,2001,Biological Studies,3,Black or African American,Male
72.49.27.62,R_10OCN3CdJLjV0PK,2001,Sports Administration ,3,White,Male
208.102.165.239,R_1FRnp56WYlk3Ryn,2001,Engineering ,5,White,Male
129.137.96.7,R_2BtgEc8kvJlypm2,2002,Nursing,3,White,Male_Transgender
129.137.28.245,R_3Pztu2wa9DIg213,2002,Psychology,2,White,Female
92.38.148.73,R_1K1k1DtM3j2MsDf,2002,Psychology,2,Asian,Female
74.140.139.163,R_BueSuDRZQySQKrL,1998,Communication/Public Relations,3,White,Female
129.137.96.31,R_3OdEHXh20LZTkVU,2002,Nutrition and Dietetics,5,White,Male
129.137.96.19,R_1MYRA8OSvcy4bz3,2002,Nursing,3,White,Male_Transgender
129.137.96.15,R_1Qxvle9Wr1JBiDo,2002,Construction management,6,White,Male
129.137.96.3,R_25SH8HEIkz4wi0I,2002,Nutrition and Dietetics ,2,White,Female
129.137.96.14,R_2dvkf8Jx9PWGWIR,2001,Nursing,3,Other_Hispanic,Female
192.24.182.92,R_A0ZuvgTg1foDxWV,2001,Nursing,5,White,Male
50.5.33.243,R_2PbRJZZFXohbAsJ,2002,Exploratory Studies,5,White,Female
129.137.96.16,R_umNSxJYM2cb32MN,2002,Nursing,5,White,Female
129.137.96.5,R_2RUPr7etbabLHic,2002,Neuroscience-Neurobiology ,4,Other,Female
129.137.96.9,R_2uDv7lNGjUic8v0,2001,art history,1,White,Female
65.185.158.4,R_2zwqcqw1EVhE3q6,2002,Nursing,1,White,Female
184.54.18.42,R_2YeSQhUJtv8Rwve,2001,criminal justice,1,White,Female
129.137.96.20,R_3MngOpn8IGorYWp,2002,Pre-Physical theraphy,4,White,Female
183.87.63.79,R_1GQdGGoe3xE229e,2002,Biological Sciences,4,Asian,Female
184.54.18.42,R_QoltkA34zcDbs2J,2001,criminal justice,1,White,Female
183.80.213.59,R_9F5FdMfiHTLF4o9,2001,Biomedical Engineering,2,Asian,Male
129.137.96.1,R_2wMkfYqaZuB0sLS,2001,Nursing,5,White,Female
129.137.96.13,R_9RyCqP2QWoFzPb3,2002,nursing,6,White,Male
129.137.96.3,R_3lQc961xEWNHNI0,2001,Nursing ,5,White,Male
129.137.96.18,R_wYRiquqOMlLrv69,2001,Nursing,3,White,Male
216.68.210.77,R_3iUrW24cpHlHS8E,1996,biochemistry ,4,Black or African American,Male
129.137.96.15,R_1BPHH3XsejsUZ9i,2002,Nursing,4,White,Female
174.98.160.206,R_4JyedwOEzcXR1tv,2001,Social Work,4,White,Female
74.215.43.150,R_1ruknDt3g89yHEh,2002,Business Economics,5,White,Male
129.137.96.21,R_1F2RzvNtcutBRnr,2001,Nursing,5,White,Female
129.137.96.5,R_pn2IQ5Ns3ZLpuI9,2002,neurobiology,4,American Indian or Alaska Native,Female
72.240.86.32,R_26mzQInZiHgS8Cg,2002,neuroscience,4,White,Female
104.231.164.209,R_2sceLceUcbWnYS2,2002,Biological Science,4,White,Male
65.60.132.225,R_CfTJnp50QVJpJZf,2001,Nursing,3,White,Female
116.105.162.118,R_3JJXcNheuvERs1t,2000,Marketing,3,Asian,Male
74.215.25.235,R_2a9VBya1CrqC2RZ,2000,Undecided,5,White,Female
170.250.122.97,R_1OxHpamd1Hd7QF1,2001,exploratory studies,1,White,Female
129.137.96.15,R_3GCmo53JdVu6Dbx,2002,nursing and German,6,White,Female
129.137.96.15,R_32Lc65IcWP38lOu,2002,Nursing ,2,Black or African American,Female
216.68.210.77,R_1flM9NsPzkXCoCl,1996,biochemistry,4,Black or African American,Male
98.103.38.179,R_3G2p2rvy7oQnKYm,2000,Information Systems,5,White,Male
50.5.132.175,R_1eqTpzhawm4yNRx,2001,Nursing,5,White_Asian,Male
74.215.89.130,R_03slptENWd5CS8F,2001,Substance Abuse Counseling ,4,White,Female
50.5.33.243,R_9EwWJiiNy9DlZsd,2002,Exploratory Studies ,5,White,Female
129.137.96.10,R_UQoPuXyJcgggOaZ,2001,business,3,White,Male
50.5.72.46,R_2c7AfLCw6azTMtN,2002,Finance ,4,White,Male
129.137.96.13,R_WrigHkAQUEjdrOx,2002,Sports Administration,4,White,Male
129.137.96.7,R_1F3AF216JrmR5I0,2002,Nursing,5,White,Female
45.59.46.90,R_3MfVPYHVFF10iJI,2002,Nursing ,6,White,Female
129.137.96.10,R_RUXHIIjFeAhOcCd,2002,Nursing,2,White,Female
172.58.188.234,R_aarYzzZInhcCTyF,2001,Biological sciences ,3,White,Female
8.17.47.229,R_3m1Mcixa4LznKhn,1999,Biology,4,White,Female
172.58.204.47,R_1dGgkOYeFkIw7V3,2001,Biology,4,White,Female
96.62.96.50,R_3ixT0YDzL2DA5YS,2000,accounting,5,Asian,Female
172.58.204.143,R_3M3DJeUDBHtSNrY,2002,Physical Therapy,5,White,Male
74.83.83.100,R_32QIq4TJYAVHmJ7,2000,fine arts,1,White,Female
75.118.111.25,R_3qUlChwcmebDNAR,2002,Criminal Justice,2,White,Female
107.77.195.100,R_3qUlGvuZND1TKWL,1997,Early Childhood Education ,4,White,Female
74.140.132.174,R_0litwQhUbNk6qCB,2001,nursing,5,White,Female
129.137.96.16,R_3erwCWabESkXO7C,2002,Nursing,5,White,Female
72.49.24.251,R_3KDPzwRVMixL2WS,1997,Mechanical Engineering,4,White,Male
174.233.2.40,R_1dae5fgSf4SWU4U,2001,Sports Admin,6,White,Male
40.133.170.64,R_uyKEp4aWnt6yK5j,2001,Sports Administration,3,White,Male
129.137.96.21,R_1FK9k2uA5IttYCB,2002,physical therapy,5,White,Female
184.54.194.218,R_O2mPuyyx4w2bKH7,1999,Sociology,3,White_Black or African American_Other,Female
72.49.0.200,R_XYVmOAFF8Co9qNP,1999,Sports Administration ,2,White,Male
192.24.189.72,R_3KT1gZDJ1b0QJxI,1989,Non-Matriculated Student,3,Other_Latino,Female
129.137.96.10,R_3snpzfu5P7h2rsQ,2001,nursing,5,White,Female
65.31.33.54,R_2RQwzJxVgdDQSuR,2000,Psychology,3,White,Female
74.140.244.195,R_rjcsAkWPsrayWfT,2001,construction management,4,White,Male
206.51.162.6,R_TjAH0lCnFTxWjRL,2001,Information Technology,5,White,Male
129.137.96.12,R_1FIDB7FptfjgcZo,2002,Nursing,5,White,Female
74.83.106.86,R_2uWoergJo55IsHK,2002,marketing ,4,White,Female
129.137.96.13,R_27Jt5ri3q4nziNA,2002,"Double majoring: Film and Media Studies,   Journalism & Broadcasting. ",2,White,Female
107.77.193.38,R_1dvhKfy69CC9QZK,2001,Exploratory,5,White,Female
162.154.226.209,R_2waIbtkpxcg59ti,2001,Neuroscience,1,White,Female
174.101.37.66,R_2rInfkhfBDZ6maw,2002,Trombone Performance,4,White,Male
129.137.96.18,R_2YWZnp2NCfHVyDV,2002,nursing,5,White,Female
171.50.220.11,R_1IbbrYmxgKRZv9L,2002,Neuroscience,2,Asian,Female
129.137.96.17,R_28MnrkhlUkxqftc,2002,Marketing ,3,White,Male
72.49.164.114,R_exjdsLYEorfJetb,2002,Philosophy,3,Asian,Female
66.161.166.138,R_3haaqfjufD2NQyq,1999,Sports Administration,5,White,Male
198.232.120.34,R_3MgGHuLvHgYgQyq,1999,Pre-Health,2,Black or African American,Male
