IPAddress,ResponseId,BirthYear,Ethnicity,Gender
129.137.96.8,R_1dNpfdlnEhu57ii,2003,White,Male
129.137.96.8,R_3GqupIBPWIHDAlt,2003,White,Male
129.137.96.4,R_3kH3D3nATEkgL3V,2002,White,Male
129.137.96.4,R_1gLPQspIWhlNHZO,2002,White,Male
72.49.24.222,R_DofrAuXnqUJVtJf,2000,White,Male
24.26.39.181,R_1eQrQWPq7TqiNke,1997,White,Male
24.106.123.19,R_43cafiyQMWHA8cp,2003,Black or African American,Female
129.137.96.19,R_1gzoOqsLKbnCm8U,2002,White,Male
129.137.96.19,R_3FJ7KwOmGb8U9vZ,2002,White,Male
129.137.96.8,R_pcK6XfzIZEdd2Ip,2003,White,Male
129.137.96.9,R_1PZR4Q0Gad9RgQI,2003,Black or African American,Male
74.83.110.128,R_308mlLW4MwAGyFY,2002,White,Male
208.102.163.222,R_2QKxEb2DwnLfgjQ,2001,White,Male
129.137.96.1,R_xl8zPkm1i23EJRT,2002,White,Female
75.81.229.129,R_2UXViVYwLdeL6nC,2003,White,Female
72.49.231.220,R_1r7hlinAn0zCcqZ,2002,White,Male
75.81.229.129,R_1H75RHREZXjaWky,2003,White,Female
24.208.218.20,R_3lzdRVGxjYLIl1z,2003,White,Male
173.88.151.185,R_3nVORAANxyR82Uw,2002,White,Female
129.137.96.20,R_2VvDpG9Hr8ViW7Q,2003,White,Female
65.28.255.251,R_3D131fAjARqP3In,2001,White,Male
184.54.83.11,R_x6jt7yxx6MSFwfT,2001,Black or African American,Female
74.133.142.218,R_3NVRlJoKeGdCF6u,2001,White,Female
72.49.3.41,R_2OPWz143KkxPoeg,2002,"Other_Israeli, Middle Eastern, Armenian",Male
72.49.3.41,R_1LNcoyxbrCRwrN4,2002,"Other_Israeli, Middle Eastern, Armenian",Male
98.28.242.96,R_u3bmwl3XDbY3GGl,2000,White,Male
72.49.106.49,R_PNfB4yYG94iFACl,2003,White,Male
50.5.226.250,R_2rPLu6QBPIrpWa9,2001,Black or African American,Female
174.101.134.64,R_3QY6KsHiFxGhLMn,2002,White,Male
129.137.96.31,R_3kH6NsmPBESaltd,2002,White,Male
98.28.29.40,R_3eh7lYiNlw2WH8w,2003,Black or African American,Female
52.124.36.227,R_79ENp3dZyUPriV3,2003,Black or African American,Female
174.96.118.209,R_2AXuxFcW8jvRBHv,2003,White,Female
184.59.89.89,R_eJV7tucbh6oHMDn,2001,White,Female
52.124.36.227,R_3R1xqxRRKbvyZxf,2001,White,Female
72.49.3.208,R_PHj2afgeWr8XXUJ,2002,White,Male
184.54.55.45,R_2CQyMy2GV3GkKYE,2001,White,Male
184.54.149.214,R_Ovu7FAYMfjRXJER,2002,White,Male
129.137.96.1,R_3p3hKlui8baSfLO,2003,White,Female
52.124.36.227,R_2V2aXl6bwYBSzKp,2001,White,Female
74.215.71.20,R_2s4wHgPrFmmzArf,2003,White,Male
74.215.221.11,R_2xK2ZKF0Oc132Nf,2002,White,Male
129.137.96.16,R_1JF3A1VQ2VlBZus,2003,Black or African American,Male
65.28.251.182,R_1Fzvax1D6uPwnym,2000,White,Male
129.137.96.3,R_2AM42f89SblKtyw,2003,Asian,Male
129.137.96.3,R_2TKIfViP4QMTyrv,2002,Black or African American,Female
74.83.84.111,R_3JkeJPwcqQ9vV1y,2000,White,Male
74.133.128.24,R_2awQwQvUABvREcV,2003,White,Female
129.137.96.21,R_2bI88YuPHwxlIS5,2002,Other_Latina,Female
129.137.96.17,R_2ByvQpdd3Ztnc0K,2003,Black or African American,Female
129.137.96.17,R_a9lnFV1u20FSefT,2003,White,Female
184.57.227.57,R_1KrONZ7FAqsKvSM,2002,White,Female
157.32.88.156,R_RwsztA7sU17NAxr,2003,Other_Indian(South Asian),Female
98.102.203.61,R_3dRlLRWqMotE0BZ,2002,White,Male
74.130.177.203,R_3IWfwGALd4GOavZ,2001,White,Female
